19.2885,13.4083
21.2904,7.2921
1.5616,16.834
14.6422,19.8888
3.9913,9.8112
3.4253,3.7678
14.7676,6.8082
19.5957,1.779
18.069,4.623
20.1704,16.1337
5.0031,12.7495
10.6108,18.6746
8.6404,22.5895
20.3614,20.3722
14.6105,16.4157
7.6245,11.0532
15.6034,23.4857
20.2494,10.6165
4.8293,5.953
24.6091,23.8993
5.8674,12.4423
4.8251,8.9686
19.0793,14.0563
22.2502,9.7396
2.0952,3.029
17.5186,3.2284
22.8956,9.0201
12.5798,10.3868
4.4041,22.1895
6.8544,14.5095
12.5637,20.9938
18.5051,9.7014
16.5745,2.6874
8.7701,10.6153
19.3479,16.9018
17.2667,9.9525
2.6178,11.9278
21.4964,2.1882
24.391,4.4109
23.2949,14.8179
22.6311,18.8937
15.9634,5.0701
23.2485,14.7912
11.6574,3.6687
17.1753,8.5708
6.6054,2.2943
15.4119,23.4745
20.8835,22.9479
18.5623,2.9519
10.2359,7.8431
2.3735,7.1809
4.2766,4.0914
12.8715,16.5889
2.9688,11.377
2.8846,23.0247
20.1627,3.4634
18.8636,4.9984
21.6663,13.4862
20.1048,5.1579
23.7606,22.0726
18.1889,4.4422
16.6092,11.1091
3.7364,16.7429
10.9286,11.2663
7.692,5.7867
9.7469,5.2843
17.3539,20.0934
13.5924,14.4215
19.9503,16.5915
22.508,13.8271
21.867,12.8614
18.7412,7.8716
9.2535,9.6854
9.8484,7.4885
8.0572,16.7686
4.1604,14.3332
2.4495,16.8621
8.4293,4.4317
19.0615,2.5386
21.9246,11.4889
22.9606,6.1278
22.0927,14.8979
9.4308,11.9081
24.3626,20.0129
15.3485,21.7213
3.8097,16.2191
14.6067,20.0505
2.8284,5.1876
22.8769,1.5044
20.0574,16.1599
9.5508,22.712
24.1332,16.7071
23.7087,13.7201
1.8996,14.3486
19.4141,14.2499
20.69,20.7048
1.9898,1.4371
