112,62
278,96
401,218
582,271
621,175
738,228
957,176
1081,163
1298,198
1506,196
1700,211
1797,216
1851,272
1914,145
2109,68
2261,104
2304,116
2426,267
2611,157
2639,253
2701,260
2896,217
2937,102
3091,233
3252,285
3376,87
3592,226
3661,241
3840,254
4044,291
4066,201
4187,241
4289,102
4317,123
4540,225
4658,161
4732,207
4917,91
4951,83
5171,260
5309,207
5496,85
5517,225
5658,245
5863,265
6107,223
6129,75
6229,245
6260,208
6353,266
6462,63
6673,281
6711,231
6920,152
7088,230
7129,122
7299,173
7423,83
7550,74
7572,287
7680,267
7750,248
7840,225
8028,278
8070,280
8301,272
8494,250
8634,176
8783,85
8922,214
9170,240
9269,212
9412,77
9464,252
9543,166
9742,141
9780,291
9824,51
9961,265
