35,287
126,272
163,281
344,88
581,73
635,251
860,130
940,299
1086,165
1323,258
1416,265
1603,80
1683,163
1903,167
1935,195
2025,203
2259,233
2367,109
2431,293
2561,271
2809,172
2847,231
2911,254
3020,55
3071,279
3244,231
3306,72
3487,93
3614,216
3686,167
3909,231
4034,184
4173,113
4304,296
4432,98
4576,77
4659,230
4825,157
5069,175
5223,174
5286,228
5329,187
5433,235
5585,234
5608,133
5832,119
5876,165
5989,143
6070,150
6299,232
6471,246
6683,227
6913,246
7100,66
7196,176
7416,185
7473,100
7716,98
7874,88
7914,220
7950,190
8116,194
8159,260
8233,99
8464,273
8687,147
8935,249
9049,245
9266,50
9364,218
9562,190
9694,185
9846,71
9942,261
